codigo_ocorrencia,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
52692,0,0,1,0
52693,0,0,1,0
52694,0,0,1,0
52696,0,0,1,0
52697,0,0,0,1
52699,1,0,1,0
52814,0,0,1,0
52815,1,0,1,0
52816,1,0,1,0
52817,0,0,1,0
52818,0,0,1,0
52819,1,0,1,1
52833,1,0,1,0
52834,1,0,1,0
52836,0,0,1,0
52837,0,0,1,0
52838,0,0,1,0
52839,0,0,1,0
52872,0,0,1,0
52873,0,0,1,0
52874,1,0,1,0
52934,0,0,1,0
52935,0,0,1,0
52937,0,0,1,0
52938,0,0,1,0
52939,0,0,1,0
52940,0,0,1,0
52942,0,0,1,0
52945,0,0,1,0
52946,1,0,1,1
52947,0,0,1,0
52972,1,0,1,0
52973,0,0,1,0
52974,1,0,1,0
52976,1,1,1,0
52977,0,0,1,0
52978,0,0,1,1
52980,0,0,1,1
52981,1,0,1,0
52983,0,0,1,0
52984,0,0,1,0
52987,0,0,1,1
52988,0,0,1,0
52993,0,0,1,0
53103,1,0,1,0
53104,1,0,1,0
53106,0,0,1,0
53107,1,0,1,0
53108,0,0,1,0
53112,1,0,1,1
53113,0,0,1,0
53114,0,0,1,0
53115,1,0,1,0
53116,1,0,1,0
53117,0,0,1,0
53118,0,0,1,0
53148,0,0,1,0
53149,1,0,1,0
53151,1,0,1,0
53152,0,0,1,1
53165,0,0,1,0
53166,0,0,1,0
53182,1,0,1,0
53194,0,0,1,0
53195,1,0,1,0
53196,0,0,1,0
53197,0,0,1,0
53198,0,0,1,0
53200,1,0,1,0
53203,1,0,1,0
53204,1,0,1,0
53223,0,0,1,0
53224,0,0,1,0
53225,0,0,1,0
53232,0,0,1,0
53233,0,0,1,0
53254,0,0,1,0
53256,0,0,1,0
53257,0,0,1,0
53262,1,0,1,1
53264,1,0,1,0
53265,1,0,1,0
53266,1,0,1,0
53268,0,0,1,0
53269,1,0,1,0
53270,0,0,1,0
53306,1,0,1,0
53308,1,0,1,0
53324,0,0,1,0
53325,1,0,1,0
53326,0,0,1,0
53331,1,0,1,0
53332,0,0,1,0
53333,1,0,1,0
53340,1,0,1,0
53353,0,0,1,0
53355,1,0,1,1
53356,0,0,1,0
53358,1,0,1,0
53359,0,0,1,0
53360,1,0,1,0
53361,0,0,1,0
53370,0,0,1,0
53372,0,0,1,1
53373,0,0,1,0
53374,0,0,1,0
53375,1,0,1,0
53376,1,0,1,0
53377,0,0,1,0
53412,1,0,1,0
53423,0,0,1,0
53427,0,1,0,0
53428,1,0,1,0
53433,0,0,1,0
53434,0,0,1,0
53435,1,0,1,0
53436,0,0,1,0
53438,1,0,1,0
53462,0,0,1,0
53463,0,0,1,0
53466,1,0,1,0
53469,1,0,1,1
53471,1,0,1,0
53485,1,0,1,0
53487,0,0,1,0
53488,1,0,1,0
53494,0,0,1,0
53495,1,0,1,0
53496,1,0,1,0
53497,1,0,1,0
53498,1,0,1,0
53499,0,0,1,0
53501,0,0,1,0
53543,0,0,1,0
53545,0,0,1,0
53546,1,0,1,0
53551,1,0,1,0
53552,0,0,1,0
53559,1,0,1,0
53561,1,0,1,0
53562,1,0,1,0
53563,1,0,1,0
53564,1,0,1,1
53565,0,1,1,1
53567,1,1,0,0
53568,1,0,1,0
53571,1,0,1,0
53572,1,0,1,0
53574,1,0,1,0
53576,1,0,1,1
53625,1,0,1,0
53626,0,0,1,0
53628,0,0,1,0
60609,1,0,1,0
60612,0,0,1,0
60613,1,0,1,0
60616,0,0,1,0
60620,0,0,1,0
60625,1,0,1,0
60629,1,0,1,0
60630,1,0,1,0
60631,1,0,1,0
60634,1,0,1,0
60653,0,0,1,0
60660,0,0,1,0
60661,1,0,1,0
60662,1,0,0,0
60665,1,0,1,0
60667,1,0,1,0
60669,0,0,1,0
60677,0,0,1,0
60686,1,0,1,1
